city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
iq,2000,26,2000-07-01,0.19288570000000002,0.13225710000000002,0.3408857,0.2472,296.74,298.45,295.184285714,307.3,43.19,92.4185714286,25.41,8.92857142857,26.4,10.775,32.5,20.7,3.0
iq,2000,27,2000-07-08,0.2168333,0.2761,0.28945709999999997,0.24165709999999999,296.63428571400004,298.428571429,295.358571429,306.6,46.0,93.5814285714,60.61,10.314285714299999,26.9,11.566666666700002,34.0,20.8,55.6
iq,2000,28,2000-07-15,0.1767571,0.1731286,0.20411429999999997,0.1280143,296.41571428599997,297.392857143,295.622857143,304.5,64.77,95.84857142860001,55.52,7.385714285710001,26.8,11.4666666667,33.0,20.7,38.1
iq,2000,29,2000-07-22,0.2277286,0.14542860000000002,0.2542,0.20031429999999997,295.357142857,296.228571429,292.797142857,303.6,23.96,87.2342857143,5.6,9.114285714289998,25.7666666667,10.5333333333,31.5,14.7,30.0
iq,2000,30,2000-07-29,0.3286429,0.3221286,0.25437139999999997,0.3610429,296.432857143,297.635714286,293.957142857,307.0,31.8,88.1614285714,62.76,9.5,26.6,11.48,33.3,19.1,4.0
iq,2000,31,2000-08-05,0.2055286,0.1907571,0.2316714,0.2553143,297.19142857099996,298.285714286,291.72571428599997,306.2,1.0,74.72857142859999,16.24,13.771428571400001,25.34,10.94,32.0,17.0,11.5
iq,2000,32,2000-08-12,0.3124857,0.3299857,0.38058569999999997,0.38727140000000004,297.32,298.978571429,293.821428571,308.8,26.68,83.27571428569999,89.37,11.4714285714,27.0166666667,11.65,34.0,19.9,72.9
iq,2000,33,2000-08-19,0.3841333,0.39224000000000003,0.34178000000000003,0.38275,297.627142857,299.335714286,293.992857143,307.9,16.9,82.49,42.08,13.7,26.5833333333,10.3166666667,33.0,20.5,50.1
iq,2000,34,2000-08-26,0.4081571,0.3221571,0.40671430000000003,0.3027143,298.238571429,299.571428571,292.904285714,310.1,5.59,74.74,49.22,13.771428571400001,26.9,13.4,34.0,19.0,89.2
iq,2000,35,2000-09-02,0.33204290000000003,0.3210571,0.3146143,0.32425709999999996,299.218571429,300.928571429,293.472857143,310.5,16.07,74.1514285714,53.65,12.457142857100001,27.116666666700002,12.2666666667,34.0,20.0,78.0
iq,2000,36,2000-09-09,0.2955857,0.2956833,0.3122143,0.26592859999999996,300.802857143,301.935714286,290.635714286,312.8,2.5,57.7871428571,23.12,14.9,28.366666666700002,12.9,35.8,21.7,56.9
iq,2000,37,2000-09-16,0.2846571,0.3097571,0.3878833,0.3281571,299.858571429,301.37142857099997,293.64,310.7,4.1,71.66,34.62,13.857142857100001,27.425,12.775,34.5,20.5,18.9
iq,2000,38,2000-09-23,0.3488143,0.2957167,0.4048429,0.2425714,297.435714286,298.51428571400004,292.707142857,310.2,3.2,77.4871428571,97.55,11.3142857143,27.5333333333,12.566666666700002,36.0,20.5,104.2
iq,2000,39,2000-09-30,0.17568570000000003,0.09948333,0.2257143,0.18278570000000002,299.35571428599997,300.885714286,293.217142857,310.8,2.6,71.4628571429,95.89,14.9428571429,27.15,12.175,34.0,20.5,57.9
iq,2000,40,2000-10-07,0.33754,0.2769429,0.2775,0.25505,298.372857143,300.5,294.664285714,309.8,16.6,82.3714285714,46.22,11.9714285714,26.7,11.675,34.0,20.0,63.0
iq,2000,41,2000-10-14,0.22353330000000002,0.1339143,0.3498,0.1009167,298.474285714,300.285714286,294.592857143,309.2,21.9,81.5228571429,31.1,13.485714285699999,27.657142857100002,11.3,34.0,21.0,3.0
iq,2000,42,2000-10-21,0.2748,0.1870571,0.3739429,0.27947140000000004,299.211428571,301.15,294.007142857,311.8,9.9,75.54,25.21,14.9285714286,27.775,12.275,36.0,21.0,45.2
iq,2000,43,2000-10-28,0.3673,0.30555,0.45538,0.3258,299.541428571,301.1,294.708571429,310.2,23.3,76.94142857140001,49.25,13.457142857100001,28.0,12.4666666667,34.6,20.0,57.9
iq,2000,44,2000-11-04,0.2951,0.21151999999999999,0.3044,0.2796167,299.44,300.821428571,295.27428571400003,312.2,20.2,79.4285714286,67.64,13.328571428599998,27.6,12.333333333299999,35.5,21.1,7.1
iq,2000,45,2000-11-11,0.2713667,0.15156670000000003,0.34725,0.23186669999999998,300.74857142900004,301.80714285700003,295.28,310.4,19.2,74.8028571429,51.83,12.871428571400001,28.175,12.25,35.2,21.5,13.5
iq,2000,46,2000-11-18,0.09993333,0.03586,0.1954857,0.06418333,301.637142857,302.614285714,294.232857143,311.8,3.6,67.1857142857,39.25,13.371428571400001,29.025,13.1,36.4,21.7,0.0
iq,2000,47,2000-11-25,0.16998329999999998,0.2893,0.3009833,0.1709167,300.872857143,301.914285714,293.06,311.1,11.2,66.0428571429,55.91,13.142857142899999,27.7,11.35,36.5,21.5,39.32635983263598
iq,2000,48,2000-12-02,0.2519714,0.2538,0.3235143,0.3191,299.23,301.26428571400004,294.717142857,310.0,14.5,78.88571428569999,20.65,12.014285714300001,27.05,11.575,34.2,21.0,19.0
iq,2000,49,2000-12-09,0.1658333,0.18241429999999997,0.2545667,0.18625,300.242857143,301.028571429,293.305714286,312.2,1.7,68.5571428571,24.53,15.457142857100001,28.0,12.0,34.0,22.0,0.8
iq,2000,50,2000-12-16,0.3387857,0.31682859999999996,0.3503429,0.2977,298.757142857,300.342857143,294.52,311.4,48.76,80.4085714286,111.06,11.9714285714,26.616666666700002,9.65,33.8,21.0,67.2
iq,2000,51,2000-12-23,0.2650143,0.16905710000000002,0.23486669999999998,0.3022429,300.411428571,302.0,291.092857143,311.2,5.7,60.641428571400006,3.9,13.0,28.2,12.2833333333,35.0,21.0,0.0
iq,2001,1,2001-01-01,0.2547143,0.2285286,0.2505857,0.287,297.958571429,298.98571428599996,296.99,305.5,64.6,94.9557142857,59.11,6.94285714286,27.3333333333,11.0,33.3,21.8,38.9
iq,2001,2,2001-01-08,0.3021333,0.20351670000000002,0.2674333,0.27399999999999997,298.044285714,299.414285714,294.345714286,309.8,22.98,82.3471428571,69.85,11.0857142857,27.0,11.225,33.2,20.7,59.9
iq,2001,3,2001-01-15,0.17475710000000003,0.1033167,0.2582429,0.1767286,298.36857142900004,300.23571428599996,295.06142857099996,308.7,24.92,84.1757142857,149.71,11.014285714300001,27.05,10.9,33.0,20.5,52.0
iq,2001,4,2001-01-22,0.2376,0.1912667,0.12585710000000003,0.2314429,295.722857143,296.671428571,294.594285714,301.8,88.03,94.05714285709999,50.02,5.62857142857,25.7166666667,9.433333333330001,31.2,20.0,166.9
iq,2001,5,2001-01-29,0.3415,0.2606667,0.3293857,0.36907140000000005,295.297142857,296.1,294.411428571,302.2,80.95,95.40714285709998,87.18,5.1428571428600005,26.4333333333,9.666666666669999,33.0,20.0,147.8
iq,2001,6,2001-02-05,0.2335857,0.161,0.1966143,0.2267,295.511428571,296.12857142900003,293.408571429,303.6,16.4,89.08,31.93,6.17142857143,27.35,10.025,34.2,21.7,3.3
iq,2001,7,2001-02-12,0.15541429999999998,0.13501670000000002,0.1485286,0.1571,295.37,296.492857143,294.43857142900004,304.4,37.96,94.8842857143,66.84,6.04285714286,26.3,8.95,33.0,21.0,83.1
iq,2001,8,2001-02-19,0.1353714,0.0823,0.12975710000000001,0.18404289999999998,296.07,296.978571429,294.73,304.4,34.18,92.84285714290002,16.17,7.585714285710001,26.9333333333,10.0,33.2,21.0,38.1
iq,2001,9,2001-02-26,0.30764,0.2282167,0.2245,0.2912833,297.038571429,298.30714285700003,295.767142857,305.1,26.96,93.3142857143,47.14,7.385714285710001,26.56,9.48,33.2,20.5,21.1
iq,2001,10,2001-03-05,0.18204289999999998,0.289,0.20687139999999998,0.2063286,297.61857142900004,298.69285714299997,296.46,305.8,83.89,94.09285714290002,118.07,6.58571428571,27.2,10.15,33.3,20.0,87.1
iq,2001,11,2001-03-12,0.20538330000000002,0.1769,0.2063571,0.2041286,296.79,298.12857142900003,295.544285714,309.3,195.2,94.0942857143,74.34,8.28571428571,27.05,12.1,34.2,20.0,39.9
iq,2001,12,2001-03-19,0.18834289999999998,0.1950333,0.1635429,0.28414290000000003,298.701428571,299.75,295.157142857,309.7,32.6,82.80142857140001,90.35,10.6142857143,27.4333333333,11.433333333299998,34.1,20.0,70.8
iq,2001,13,2001-03-26,0.16238,0.15081670000000003,0.09465714,0.13225710000000002,296.852857143,297.6,296.078571429,303.2,304.52,95.9242857143,94.06,6.2,27.05,10.95,34.2,20.0,80.0
iq,2001,14,2001-04-02,0.2678143,0.3126429,0.2615,0.2584,296.305714286,297.828571429,295.695714286,305.5,91.43,96.7371428571,86.46,6.65714285714,27.16,10.98,35.0,20.5,46.2
iq,2001,15,2001-04-09,0.3827571,0.37097140000000006,0.3438857,0.37627140000000003,297.17571428599996,298.3,296.13,305.5,110.1,94.6028571429,80.82,6.77142857143,26.46,11.66,34.0,19.5,120.1
iq,2001,16,2001-04-16,0.3125429,0.28221430000000003,0.2621286,0.4074857,297.062857143,298.15,295.98571428599996,305.1,120.32,94.6157142857,77.73,7.5,27.34,11.04,33.5,20.4,45.3
iq,2001,17,2001-04-23,0.2456143,0.2148429,0.27337140000000004,0.2288,297.961428571,299.207142857,295.428571429,307.8,78.3,88.14857142860001,78.01,10.2428571429,27.633333333299998,10.933333333299998,34.3,21.0,14.9
iq,2001,18,2001-04-30,0.2540143,0.179,0.31282859999999996,0.2625571,297.285714286,298.65,295.74,305.6,103.87,92.19285714290001,94.77,7.414285714289999,27.625,11.325,35.2,20.5,51.0
iq,2001,19,2001-05-07,0.2664571,0.1886,0.1962,0.22732860000000002,297.135714286,298.2,296.332857143,305.1,85.9,95.82,45.56,7.085714285710001,26.6,8.8,32.7,21.4,66.0
iq,2001,20,2001-05-14,0.3153429,0.31965,0.2627,0.30348569999999997,297.297142857,298.30714285700003,296.99,305.6,80.3,98.34142857139999,74.08,5.6428571428600005,27.18578337208988,8.059328008627128,32.5,22.10214979195562,0.0
iq,2001,21,2001-05-21,0.2985857,0.37966669999999997,0.1842429,0.26852859999999995,296.922857143,297.957142857,295.827142857,305.6,53.1,94.71,70.81,8.54285714286,27.4333333333,11.933333333299998,34.2,20.5,64.1
iq,2001,22,2001-05-28,0.2999429,0.3029429,0.3187143,0.38744290000000003,296.845714286,298.0,295.18,304.8,20.3,91.4657142857,90.07,8.8,27.25,12.65,34.8,20.5,32.0
iq,2001,23,2001-06-04,0.36356669999999996,0.18191429999999997,0.2539714,0.2467286,296.69142857099996,297.892857143,294.46,307.6,30.63,89.4871428571,126.46,9.72857142857,26.866666666700002,10.733333333300001,34.0,19.8,17.0
iq,2001,24,2001-06-11,0.3170833,0.2989667,0.2198714,0.2173429,295.482857143,296.435714286,294.341428571,302.6,95.06,94.0171428571,47.13,7.27142857143,26.88,10.68,33.4,20.0,37.1
