city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,10
sj,2008,20,7
sj,2008,21,16
sj,2008,22,13
sj,2008,23,16
sj,2008,24,16
sj,2008,25,21
sj,2008,26,24
sj,2008,27,21
sj,2008,28,17
sj,2008,29,21
sj,2008,30,20
sj,2008,31,28
sj,2008,32,33
sj,2008,33,37
sj,2008,34,30
sj,2008,35,39
sj,2008,36,47
sj,2008,37,34
sj,2008,38,37
sj,2008,39,31
sj,2008,40,31
sj,2008,41,42
sj,2008,42,31
sj,2008,43,31
sj,2008,44,39
sj,2008,45,37
sj,2008,46,37
sj,2008,47,33
sj,2008,48,26
sj,2008,49,24
sj,2008,50,26
sj,2008,51,26
sj,2008,52,28
sj,2009,1,6
sj,2009,2,9
sj,2009,3,11
sj,2009,4,11
sj,2009,5,11
sj,2009,6,10
sj,2009,7,8
sj,2009,8,10
sj,2009,9,5
sj,2009,10,10
sj,2009,11,10
sj,2009,12,10
sj,2009,13,10
sj,2009,14,10
sj,2009,15,10
sj,2009,16,10
sj,2009,17,10
sj,2009,18,10
sj,2009,19,10
sj,2009,20,13
sj,2009,21,10
sj,2009,22,18
sj,2009,23,15
sj,2009,24,18
sj,2009,25,19
sj,2009,26,21
sj,2009,27,22
sj,2009,28,24
sj,2009,29,22
sj,2009,30,25
sj,2009,31,25
sj,2009,32,35
sj,2009,33,35
sj,2009,34,33
sj,2009,35,37
sj,2009,36,41
sj,2009,37,38
sj,2009,38,41
sj,2009,39,42
sj,2009,40,44
sj,2009,41,43
sj,2009,42,37
sj,2009,43,41
sj,2009,44,41
sj,2009,45,39
sj,2009,46,31
sj,2009,47,37
sj,2009,48,34
sj,2009,49,29
sj,2009,50,34
sj,2009,51,24
sj,2009,52,28
sj,2010,53,27
sj,2010,1,11
sj,2010,2,11
sj,2010,3,11
sj,2010,4,11
sj,2010,5,11
sj,2010,6,2
sj,2010,7,10
sj,2010,8,10
sj,2010,9,11
sj,2010,10,10
sj,2010,11,10
sj,2010,12,10
sj,2010,13,12
sj,2010,14,10
sj,2010,15,10
sj,2010,16,10
sj,2010,17,15
sj,2010,18,13
sj,2010,19,15
sj,2010,20,18
sj,2010,21,20
sj,2010,22,25
sj,2010,23,28
sj,2010,24,22
sj,2010,25,18
sj,2010,26,22
sj,2010,27,28
sj,2010,28,26
sj,2010,29,18
sj,2010,30,17
sj,2010,31,27
sj,2010,32,41
sj,2010,33,38
sj,2010,34,38
sj,2010,35,45
sj,2010,36,43
sj,2010,37,44
sj,2010,38,41
sj,2010,39,42
sj,2010,40,42
sj,2010,41,42
sj,2010,42,37
sj,2010,43,41
sj,2010,44,33
sj,2010,45,33
sj,2010,46,28
sj,2010,47,26
sj,2010,48,28
sj,2010,49,26
sj,2010,50,28
sj,2010,51,28
sj,2011,52,28
sj,2011,1,11
sj,2011,2,11
sj,2011,3,9
sj,2011,4,11
sj,2011,5,11
sj,2011,6,10
sj,2011,7,10
sj,2011,8,10
sj,2011,9,10
sj,2011,10,10
sj,2011,11,8
sj,2011,12,10
sj,2011,13,10
sj,2011,14,7
sj,2011,15,10
sj,2011,16,8
sj,2011,17,10
sj,2011,18,10
sj,2011,19,10
sj,2011,20,10
sj,2011,21,11
sj,2011,22,18
sj,2011,23,11
sj,2011,24,15
sj,2011,25,21
sj,2011,26,21
sj,2011,27,19
sj,2011,28,12
sj,2011,29,15
sj,2011,30,26
sj,2011,31,26
sj,2011,32,30
sj,2011,33,28
sj,2011,34,38
sj,2011,35,36
sj,2011,36,41
sj,2011,37,41
sj,2011,38,31
sj,2011,39,34
sj,2011,40,41
sj,2011,41,39
sj,2011,42,36
sj,2011,43,36
sj,2011,44,33
sj,2011,45,33
sj,2011,46,34
sj,2011,47,33
sj,2011,48,28
sj,2011,49,26
sj,2011,50,24
sj,2011,51,28
sj,2012,52,28
sj,2012,1,11
sj,2012,2,11
sj,2012,3,11
sj,2012,4,11
sj,2012,5,11
sj,2012,6,10
sj,2012,7,10
sj,2012,8,5
sj,2012,9,10
sj,2012,10,10
sj,2012,11,10
sj,2012,12,10
sj,2012,13,10
sj,2012,14,10
sj,2012,15,13
sj,2012,16,5
sj,2012,17,10
sj,2012,18,18
sj,2012,19,6
sj,2012,20,18
sj,2012,21,18
sj,2012,22,16
sj,2012,23,21
sj,2012,24,24
sj,2012,25,24
sj,2012,26,24
sj,2012,27,24
sj,2012,28,18
sj,2012,29,21
sj,2012,30,22
sj,2012,31,28
sj,2012,32,32
sj,2012,33,35
sj,2012,34,35
sj,2012,35,36
sj,2012,36,39
sj,2012,37,39
sj,2012,38,39
sj,2012,39,44
sj,2012,40,39
sj,2012,41,42
sj,2012,42,43
sj,2012,43,42
sj,2012,44,42
sj,2012,45,42
sj,2012,46,39
sj,2012,47,37
sj,2012,48,36
sj,2012,49,31
sj,2012,50,28
sj,2012,51,28
sj,2013,1,11
sj,2013,2,11
sj,2013,3,11
sj,2013,4,11
sj,2013,5,11
sj,2013,6,10
sj,2013,7,10
sj,2013,8,10
sj,2013,9,10
sj,2013,10,7
sj,2013,11,8
sj,2013,12,10
sj,2013,13,7
sj,2013,14,10
sj,2013,15,11
sj,2013,16,16
sj,2013,17,10
iq,2010,26,5
iq,2010,27,2
iq,2010,28,3
iq,2010,29,7
iq,2010,30,3
iq,2010,31,4
iq,2010,32,11
iq,2010,33,11
iq,2010,34,12
iq,2010,35,16
iq,2010,36,23
iq,2010,37,18
iq,2010,38,18
iq,2010,39,19
iq,2010,40,27
iq,2010,41,18
iq,2010,42,19
iq,2010,43,19
iq,2010,44,25
iq,2010,45,19
iq,2010,46,21
iq,2010,47,22
iq,2010,48,21
iq,2010,49,22
iq,2010,50,22
iq,2010,51,18
iq,2011,52,22
iq,2011,1,3
iq,2011,2,4
iq,2011,3,2
iq,2011,4,3
iq,2011,5,6
iq,2011,6,3
iq,2011,7,3
iq,2011,8,5
iq,2011,9,3
iq,2011,10,3
iq,2011,11,3
iq,2011,12,5
iq,2011,13,3
iq,2011,14,3
iq,2011,15,3
iq,2011,16,5
iq,2011,17,3
iq,2011,18,3
iq,2011,19,2
iq,2011,20,8
iq,2011,21,3
iq,2011,22,7
iq,2011,23,2
iq,2011,24,2
iq,2011,25,2
iq,2011,26,3
iq,2011,27,3
iq,2011,28,2
iq,2011,29,2
iq,2011,30,3
iq,2011,31,7
iq,2011,32,13
iq,2011,33,13
iq,2011,34,13
iq,2011,35,15
iq,2011,36,17
iq,2011,37,18
iq,2011,38,17
iq,2011,39,24
iq,2011,40,22
iq,2011,41,19
iq,2011,42,19
iq,2011,43,22
iq,2011,44,22
iq,2011,45,19
iq,2011,46,22
iq,2011,47,22
iq,2011,48,22
iq,2011,49,22
iq,2011,50,22
iq,2011,51,22
iq,2012,52,23
iq,2012,1,4
iq,2012,2,4
iq,2012,3,4
iq,2012,4,4
iq,2012,5,4
iq,2012,6,3
iq,2012,7,3
iq,2012,8,3
iq,2012,9,3
iq,2012,10,5
iq,2012,11,5
iq,2012,12,2
iq,2012,13,5
iq,2012,14,3
iq,2012,15,5
iq,2012,16,3
iq,2012,17,3
iq,2012,18,3
iq,2012,19,2
iq,2012,20,3
iq,2012,21,3
